model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1970_1980,1970,1979,50,5,linear,0.2,0.01,0.1821376324323004,0.27346288333572005
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1970_1980,1970,1979,50,5,relu,0.2,0.01,-0.21690693670421446,0.08752101035982907
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1972_1982,1972,1981,100,20,relu,0.2,0.01,0.2490361703796644,0.45069684492079287
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1972_1982,1972,1981,100,20,relu,0.0,0.05,0.41170552872109456,0.4588178730902188
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1972_1982,1972,1981,100,20,linear,0.2,0.01,0.3011651476412365,0.3337151359427827
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1972_1982,1972,1981,20,5,relu,0.1,0.01,0.057705388023445936,0.15482554307817442
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1972_1982,1972,1981,100,10,linear,0.2,0.001,0.2642655379290989,0.5412663558167776
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1972_1982,1972,1981,50,5,linear,0.2,0.01,0.42132893610832745,0.49959487898970706
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1972_1982,1972,1981,50,5,relu,0.2,0.01,0.3856140674657996,0.5078707604646431
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1974_1984,1974,1983,100,20,relu,0.2,0.01,0.02145142169493608,0.0778099306910031
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1974_1984,1974,1983,100,20,linear,0.2,0.01,-0.6426226314664649,0.10202076926333034
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1974_1984,1974,1983,20,5,relu,0.1,0.01,-0.2438114436738945,0.25532894288800934
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1974_1984,1974,1983,100,10,linear,0.2,0.001,0.17068746417500846,0.23762193278025195
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1974_1984,1974,1983,50,5,linear,0.2,0.01,-0.7784797629436697,0.24329913409448503
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1974_1984,1974,1983,50,5,relu,0.2,0.01,0.18519524376627072,0.31557466285605573
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1976_1986,1976,1985,100,20,relu,0.2,0.01,-0.4639985688886079,0.06767486113405155
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1976_1986,1976,1985,100,20,relu,0.0,0.05,-0.3954413390243252,0.27922717320718304
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1976_1986,1976,1985,100,20,linear,0.2,0.01,-0.8581439122083068,0.18537897143073395
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1976_1986,1976,1985,20,5,relu,0.1,0.01,0.3049284194140872,0.3537635272640213
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1976_1986,1976,1985,100,10,linear,0.2,0.001,0.06995535663962649,0.4794055055224417
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1976_1986,1976,1985,50,5,linear,0.2,0.01,-0.6824649715208064,0.18049820130607067
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1976_1986,1976,1985,50,5,relu,0.2,0.01,0.3970174300511352,0.43389370584668874
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1978_1988,1978,1987,100,20,relu,0.2,0.01,-1.0329884691791449,0.6410230451342965
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1978_1988,1978,1987,100,20,relu,0.0,0.05,-0.33679761593197277,0.30558924981745217
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1978_1988,1978,1987,100,20,linear,0.2,0.01,-3.2906943393278274,0.3240839921817437
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1978_1988,1978,1987,20,5,relu,0.1,0.01,-0.791268951780902,0.41911192465195596
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1978_1988,1978,1987,100,10,linear,0.2,0.001,-2.5320202244818932,0.29106715592225285
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1978_1988,1978,1987,50,5,linear,0.2,0.01,-2.825993465235858,0.46063135257451243
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1978_1988,1978,1987,50,5,relu,0.2,0.01,-1.5966732029868105,0.474439820199458
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1980_1990,1980,1989,100,20,relu,0.2,0.01,-0.2666700862886986,0.041797801533768525
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1980_1990,1980,1989,20,5,relu,0.1,0.01,-0.556744252699493,0.0018351922777872741
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1980_1990,1980,1989,50,5,relu,0.2,0.01,-0.8534813119904605,0.18388187203645506
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1984_1994,1984,1993,20,5,relu,0.1,0.01,-1.5390023061281037,0.014820929214998831
