model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1964_1974,1964,1973,100,20,linear,0.2,0.01,-2.9892104330019604,0.40737701606580323
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1964_1974,1964,1973,20,5,relu,0.1,0.01,-6.025563286619413,0.5952288115878878
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1964_1974,1964,1973,100,10,linear,0.2,0.001,-2.865378470863212,0.5050887988221843
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1964_1974,1964,1973,50,5,linear,0.2,0.01,0.03965607144452088,0.2714734940829713
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1964_1974,1964,1973,50,5,relu,0.2,0.01,-0.519393159057346,0.47406156874593103
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1966_1976,1966,1975,100,20,relu,0.2,0.01,-1.083489914800762,0.5731494057022033
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1966_1976,1966,1975,100,20,relu,0.0,0.05,-1.5539339496398248,0.7385205373788036
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1966_1976,1966,1975,100,20,linear,0.2,0.01,-0.3879343882291979,0.4974744221175066
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1966_1976,1966,1975,20,5,relu,0.1,0.01,-1.1324618690619288,0.38694952017465795
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1966_1976,1966,1975,100,10,linear,0.2,0.001,0.20534080658322884,0.5043696654496025
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1966_1976,1966,1975,50,5,linear,0.2,0.01,-4.708308078847814,0.42900400329149435
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1966_1976,1966,1975,50,5,relu,0.2,0.01,-1.6680524065501037,0.5266812777253939
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1968_1978,1968,1977,100,20,relu,0.2,0.01,-0.6164294073336476,0.37310550849063534
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1968_1978,1968,1977,100,20,relu,0.0,0.05,-1.487999732216252,0.5814594157777597
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1968_1978,1968,1977,100,20,linear,0.2,0.01,0.14334735700595036,0.49552633115483097
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1968_1978,1968,1977,20,5,relu,0.1,0.01,0.3574078662155915,0.4731172733360785
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1968_1978,1968,1977,100,10,linear,0.2,0.001,-0.13431157007558903,0.6186232970369006
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1968_1978,1968,1977,50,5,linear,0.2,0.01,0.27102755086311003,0.4973346202929057
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1968_1978,1968,1977,50,5,relu,0.2,0.01,-0.19500745427620014,0.5931797286794098
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1970_1980,1970,1979,100,20,relu,0.2,0.01,0.005394955202774332,0.5072368621493994
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1970_1980,1970,1979,100,20,relu,0.0,0.05,0.38998516093061886,0.48590717625523017
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1970_1980,1970,1979,100,20,linear,0.2,0.01,-0.7473832837325805,0.5937928105942352
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1970_1980,1970,1979,20,5,relu,0.1,0.01,-0.6732994661419798,0.4033677061116916
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1970_1980,1970,1979,100,10,linear,0.2,0.001,-0.0478505967216325,0.41690124334002204
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1970_1980,1970,1979,50,5,linear,0.2,0.01,-0.3060070489647362,0.4228269854976582
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1970_1980,1970,1979,50,5,relu,0.2,0.01,-0.2656317074584096,0.34891292339756
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1972_1982,1972,1981,100,20,relu,0.2,0.01,-0.5083255246014158,0.6183063263005237
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1972_1982,1972,1981,100,20,relu,0.0,0.05,0.047213590086115365,0.7218820754458422
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1972_1982,1972,1981,100,20,linear,0.2,0.01,-0.34787847009367523,0.3304905116768139
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1972_1982,1972,1981,20,5,relu,0.1,0.01,-0.5628317756637671,0.6323957183426905
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1972_1982,1972,1981,50,5,linear,0.2,0.01,-0.29227969751309235,0.19932068026119806
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1972_1982,1972,1981,50,5,relu,0.2,0.01,0.15150015980570908,0.5891456599556618
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1974_1984,1974,1983,100,20,linear,0.2,0.01,-0.07055016978528683,0.0671975613034256
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1974_1984,1974,1983,20,5,relu,0.1,0.01,0.033466185123539494,0.1129770746633375
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1974_1984,1974,1983,100,10,linear,0.2,0.001,-1.5229028086990377,0.2956879264376396
